Blu-Ray/DVD Combo_rp,Blu-Ray/DVD Combo_sp,Blu-Ray_rp,Blu-Ray_sp,DVD_rp,DVD_sp,Essential Art House DVD_rp,Essential Art House DVD_sp,Janus Films DVD_rp,Janus Films DVD_sp,aspect_ratio,color,description,dir_link,duration,lang,title,year
,,,,$29.95,$23.96,,,,,2.35:1,Color,"In 2 or 3 Things I Know About Her (2 ou 3 choses que je sais d’elle), Jean-Luc Godard beckons us ever closer, whispering in our ears as narrator. About what? Money, sex, fashion, the city, love, language, war: in a word, everything. Among the legendary French filmmaker’s finest achievements, the film takes as its ostensible subject the daily life of Juliette Janson (Marina Vlady), a housewife from the Paris suburbs who prostitutes herself for extra money. Yet this is only a template for Godard to spin off into provocative philosophical tangents and gorgeous images. 2 or 3 Things I Know About Her is perhaps Godard’s most revelatory look at consumer culture, shot in ravishing widescreen color by Raoul Coutard.",/shop/browse?director=godard-jean-luc,87 minutes,French,2 or 3 Things I Know About Her,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.85:1,Black & White,"In this beautifully shot, psychologically complex western, Van Heflin is a mild-mannered cattle rancher who takes on the task of shepherding a captured outlaw (played with cucumber-cool charisma by Glenn Ford) to the train that will deliver him to prison. This apparently simple mission turns into a nerve-racking cat-and-mouse game that tests each man’s particular brand of honor. Based on a story by Elmore Leonard, 3:10 to Yuma is a thrilling, humane action movie, directed by the supremely talented studio filmmaker Delmer Daves with intense feeling and precision.",/shop/browse?director=daves-delmer,92 minutes,English,3:10 to Yuma,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,2.35:1,Color,"In a dusty, underpopulated California resort town, a naive southern waif, Pinky Rose (Sissy Spacek), idolizes and befriends her fellow nurse, the would-be sophisticate and “thoroughly modern” Millie Lammoreaux (Shelley Duvall). When Millie takes Pinky in as her roommate, Pinky’s hero worship evolves into something far stranger and more sinister than either could have anticipated. Featuring brilliant performances from Spacek and Duvall, this dreamlike masterpiece from Robert Altman careens from the humorous to the chilling to the surreal, resulting in one of the most unusual and compelling films of the 1970s.",/shop/browse?director=altman-robert,124 minutes,English,3 Women,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,2.35:1,Color,"Romanian filmmaker Cristian Mungiu shot to international prominence with this rigorously realistic Palme d’Or–winning second feature. In 1987, during the dictatorship of Nicolae Ceaușescu, college roommates Otilia (Anamaria Marinca) and Găbița (Laura Vasiliu) seek an illegal abortion for Găbița. In unflinching but empathetic detail, the film recounts the events of twenty-four perilous hours in their lives, culminating in their encounter with a manipulative and menacing abortionist (Vlad Ivanov). With powerful performances that accentuate the characters’ flawed humanity, 4 Months, 3 Weeks and 2 Days is a gutting account of the impossible choices women face when taking control of their bodies means breaking the law.",/shop/browse?director=mungiu-cristian,113 minutes,Romanian,"4 Months, 3 Weeks and 2 Days",1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.85:1,Black & White,"Marcello Mastroianni plays Guido Anselmi, a director whose new project is collapsing around him, along with his life. One of the greatest films about film ever made, Federico Fellini’s 8½ (Otto e mezzo) turns one man’s artistic crisis into a grand epic of the cinema. An early working title for 8½ was The Beautiful Confusion, and Fellini’s masterpiece is exactly that: a shimmering dream, a circus, and a magic act.",/shop/browse?director=fellini-federico,138 minutes,"English,                                          French,                                          German,                                          Italian",8½,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.66:1,Black & White,"12 Angry Men, by Sidney Lumet, may be the most radical courtroom drama in cinema history. A behind-closed-doors look at the American legal system that is as riveting as it is spare, this iconic adaptation of Reginald Rose’s teleplay stars Henry Fonda as the dissenting member on a jury of white men ready to pass judgment on a Puerto Rican teenager charged with murdering his father. The result is a saga of epic proportions that plays out over a tense afternoon in one sweltering room. Lumet’s electrifying snapshot of 1950s America on the verge of change is one of the great feature film debuts.",/shop/browse?director=lumet-sidney,96 minutes,English,12 Angry Men,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.78:1,Color,"For what would prove to be his final film, Iranian director Abbas Kiarostami gave himself a challenge: to create a dialogue between his work as a filmmaker and his work as a photographer, bridging the two art forms to which he had dedicated his life. Setting out to reconstruct the moments immediately before and after a photograph is taken, Kiarostami selected twenty-four still images—most of them stark landscapes inhabited only by foraging birds and other wildlife—and digitally animated each one into its own subtly evolving four-and-a-half-minute vignette, creating a series of poignant studies in movement, perception, and time. A sustained meditation on the process of image making, 24 Frames is a graceful and elegiac farewell from one of the giants of world cinema.",/shop/browse?director=kiarostami-abbas,114 minutes,,24 Frames,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.33:1,Black & White,"A heart-racing spy story by Alfred Hitchcock, The 39 Steps follows Richard Hannay (Robert Donat) as he stumbles upon a conspiracy that thrusts him into a hectic chase across the Scottish moors—a chase in which he is both the pursuer and the pursued—as well as into an unexpected romance with the cool Pamela (Madeline Carroll). Adapted from a novel by John Buchan, this classic wrong-man thriller from the Master of Suspense anticipates the director’s most famous works (especially North by Northwest), and remains one of his cleverest and most entertaining films.",/shop/browse?director=hitchcock-alfred,86 minutes,English,The 39 Steps,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.85:1,Color,"In this exquisitely calibrated film, Charlotte Rampling and Tom Courtenay perform a subtly off-kilter pas de deux as Kate and Geoff, an English couple who, on the eve of an anniversary celebration, find their long marriage shaken by the arrival of a letter to Geoff that unceremoniously collapses his past into their shared present. Director Andrew Haigh carries the tradition of British realist cinema to artful new heights in 45 Years, weaving the momentous into the mundane as the pair go about their daily lives, while the evocatively flat, wintry Norfolk landscape frames their struggle to maintain an increasingly untenable status quo. Loosely adapting a short story by David Constantine, Haigh shifts the focus from the slightly erratic Geoff to Kate, eliciting a remarkable, nuanced portrayal by Rampling of a woman’s gradual metamorphosis from unflappable wife to woman undone.",/shop/browse?director=haigh-andrew,95 minutes,English,45 Years,1955
,,,,$39.95,$31.96,,,,,1.33:1,Black & White,"At once a compelling piece of anti-isolationist propaganda and a quick-witted wartime thriller, 49th Parallel is a classic early work from the inimitable British filmmaking team of Michael Powell and Emeric Pressburger. When a Nazi U-boat crew, headed by the ruthless Eric Portman, is stranded in Canada during the thick of World War II, the men evade capture by hiding out in a series of rural communities, before trying to cross the border into the still-neutral United States. Both soul-stirring and delightfully entertaining, 49th Parallel features a colorful cast of characters played by larger-than-life actors Laurence Olivier, Raymond Massey, Anton Walbrook, and Leslie Howard.",/shop/browse?director=powell-michael,123 minutes,English,49th Parallel,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,2.35:1,Black & White,"François Truffaut’s first feature is also his most personal. Told from the point of view of Truffaut’s cinematic counterpart, Antoine Doinel (Jean-Pierre Léaud), The 400 Blows (Les quatre cents coups) sensitively re-creates the trials of Truffaut’s own childhood, unsentimentally portraying aloof parents, oppressive teachers, and petty crime. The film marked Truffaut’s passage from leading critic to trailblazing auteur of the French New Wave.",/shop/browse?director=truffaut-francois,99 minutes,French,The 400 Blows,1955
