,,,,,,
,,,,,,
,,,,,,
"Source: USCIS, data as of October 25, 2017. Notes:  All data are based on approved petitions during the fiscal year. Petitions approved in a fiscal year may be filed in previous fiscal years.  Per USCIS best practices, units of less than 10 beneficiaries are masked so as to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system. Average salary is based on data reported by the petitioner in the petition and may include part-time employment. Because USCIS data systems do not include hours worked, we are unable to identify salaries earned from part-time employment. In lieu of the required degree a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty. The letter H replaces the value in the total column where one could deduce the value of D. Employers without tax identification numbers in our system were excluded. ",,,,,,
Employer Tax Number (last 4 digits), Employer Name ,Total Number of Approved Petitions, Average Salary ($) ,Beneficiaries' Degree/Diploma,,
4155,COGNIZANT TECH SOLNS US CORP," 28,908 "," 85,429 ",Bachelor's," 22,391 ",
 , ,   ,   ,Master's," 6,512 ",
 , ,   ,   ,Doctorate, D ,
 , ,   ,   ,High School, D ,
9806,TATA CONSULTANCY SVCS LTD," 14,697 "," 73,505 ",Bachelor's," 11,766 ",
 , ,   ,   ,Master's," 2,923 ",
 , ,   ,   ,Missing Education, D ,
 , ,   ,   ,Associate Degree, D ,
 , ,   ,   ,High School, D ,
 , ,   ,   ,No Diploma, D ,
 , ,   ,   ,Professional Degree, D ,
 , ,   ,   ,Some College Credits, D ,
0235,INFOSYS LTD," 13,408 "," 85,717 ",Bachelor's," 10,130 ",
 , ,   ,   ,Master's," 3,214 ",
 , ,   ,   ,Professional Degree, 47 ,
 , ,   ,   ,Associate Degree, 10 ,
 , ,   ,   ,Doctorate, D ,
 , ,   ,   ,High School, D ,
4401,WIPRO LIMITED," 6,529 "," 75,082 ",Bachelor's," 3,914 ",
 , ,   ,   ,Master's," 2,551 ",
 , ,   ,   ,Associate Degree, 62 ,
 , ,   ,   ,Missing Education, D ,
 , ,   ,   ,High School, D ,
4513,DELOITTE CONSULTING LLP," 6,027 "," 106,797 ",Bachelor's," 3,913 ",
 , ,   ,   ,Master's," 2,094 ",
 , ,   ,   ,Doctorate, 12 ,
 , ,   ,   ,Professional Degree, D ,
 , ,   ,   ,Some College Credits, D ,
2904,ACCENTURE LLP," 5,070 "," 83,573 ",Bachelor's," 3,674 ",
 , ,   ,   ,Master's," 1,390 ",
 , ,   ,   ,Doctorate, D ,
 , ,   ,   ,High School, D ,
2696,TECH MAHINDRA AMERICAS INC," 4,931 "," 78,443 ",Bachelor's," 3,143 ",
 , ,   ,   ,Master's," 1,730 ",
 , ,   ,   ,High School, 29 ,
 , ,   ,   ,Professional Degree, 19 ,
 , ,   ,   ,No Diploma, D ,
 , ,   ,   ,Doctorate, D ,
 , ,   ,   ,Some College Credits, D ,
 , ,   ,   ,Missing Education, D ,
6545,AMAZON CORPORATE LLC," 4,767 "," 118,637 ",Master's," 3,274 ",
 , ,   ,   ,Bachelor's," 1,353 ",
 , ,   ,   ,Doctorate, 138 ,
 , ,   ,   ,Missing Education, D ,
 , ,   ,   ,Professional Degree, D ,
5035,HCL AMERICA INC," 4,392 "," 87,978 ",Bachelor's," 2,719 ",
 , ,   ,   ,Master's," 1,668 ",
 , ,   ,   ,Doctorate, D ,
 , ,   ,   ,Missing Education, D ,
 , ,   ,   ,Some College Credits, D ,
4442,MICROSOFT CORPORATION," 4,069 "," 130,259 ",Master's," 2,185 ",
 , ,   ,   ,Bachelor's," 1,684 ",
 , ,   ,   ,Doctorate, 196 ,
 , ,   ,   ,Professional Degree, D ,
 , ,   ,   ,Missing Education, D ,
 , ,   ,   ,Some College Credits, D ,
5929,CAPGEMINI AMERICA INC," 3,580 "," 84,667 ",Bachelor's," 2,454 ",
 , ,   ,   ,Master's," 1,120 ",
 , ,   ,   ,High School, D ,
 , ,   ,   ,Professional Degree, D ,
1430,IBM INDIA PRIVATE LIMITED," 3,000 "," 79,916 ",Bachelor's," 1,861 ",
 , ,   ,   ,Master's," 1,137 ",
 , ,   ,   ,Missing Education, D ,
 , ,   ,   ,Some College Credits, D ,
5596,ERNST & YOUNG US LLP," 2,986 "," 105,794 ",Master's," 1,911 ",
 , ,   ,   ,Bachelor's," 1,051 ",
 , ,   ,   ,Doctorate, 15 ,
 , ,   ,   ,Professional Degree, D ,
 , ,   ,   ,Some College Credits, D ,
3581,GOOGLE INC," 2,758 "," 134,419 ",Master's," 1,722 ",
 , ,   ,   ,Bachelor's, 734 ,
 , ,   ,   ,Doctorate, 296 ,
 , ,   ,   ,Professional Degree, D ,
 , ,   ,   ,Missing Education, D ,
2743,INTEL CORPORATION," 2,625 "," 104,691 ",Master's," 1,981 ",
 , ,   ,   ,Doctorate, 425 ,
 , ,   ,   ,Bachelor's, 214 ,
 , ,   ,   ,Professional Degree, D ,
 , ,   ,   ,Some College Credits, D ,
3900,SYNTEL CONSULTING INC," 2,119 "," 70,258 ",Bachelor's," 1,405 ",
 , ,   ,   ,Master's, H ,
 , ,   ,   ,High School, D ,
4110,APPLE INC," 2,055 "," 142,974 ",Master's," 1,165 ",
 , ,   ,   ,Bachelor's, 677 ,
 , ,   ,   ,Doctorate, 205 ,
 , ,   ,   ,Professional Degree, D ,
 , ,   ,   ,High School, D ,
 , ,   ,   ,No Diploma, D ,
4303,LARSEN & TOUBRO INFOTECH LIMIT," 1,864 "," 78,737 ",Bachelor's," 1,524 ",
 , ,   ,   ,Master's, 340 ,
9951,CISCO SYSTEMS INC," 1,587 "," 128,389 ",Master's, 977 ,
 , ,   ,   ,Bachelor's, 581 ,
 , ,   ,   ,Doctorate, H ,
 , ,   ,   ,Professional Degree, D ,
5019,FACEBOOK INC," 1,566 "," 144,812 ",Master's, 971 ,
 , ,   ,   ,Bachelor's, 466 ,
 , ,   ,   ,Doctorate, 129 ,
5249,ORACLE AMERICA INC," 1,546 "," 123,049 ",Master's, 917 ,
 , ,   ,   ,Bachelor's, 592 ,
 , ,   ,   ,Doctorate, H ,
 , ,   ,   ,Missing Education, D ,
4428,JPMORGAN CHASE & CO," 1,545 "," 113,351 ",Master's, 809 ,
 , ,   ,   ,Bachelor's, 672 ,
 , ,   ,   ,Doctorate, H ,
 , ,   ,   ,Professional Degree, D ,
1591,L&T TECHNOLOGY SERVICES LTD," 1,481 "," 68,437 ",Bachelor's," 1,297 ",
 , ,   ,   ,Master's, 184 ,
8214,PRICEWATERHOUSECOOPERS ADVISOR," 1,442 "," 117,464 ",Master's, 885 ,
 , ,   ,   ,Bachelor's, 543 ,
 , ,   ,   ,Doctorate, H ,
 , ,   ,   ,Professional Degree, D ,
1517,DELOITTE & TOUCHE LLP," 1,410 "," 87,820 ",Master's, 730 ,
 , ,   ,   ,Bachelor's, 676 ,
 , ,   ,   ,Doctorate, D ,
 , ,   ,   ,Professional Degree, D ,
9720,MPHASIS CORPORATION," 1,194 "," 84,081 ",Bachelor's, 818 ,
 , ,   ,   ,Master's, 376 ,
9797,UST GLOBAL INC," 1,059 "," 71,332 ",Bachelor's, 714 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Doctorate, D ,
1985,IBM CORPORATION," 1,051 "," 120,308 ",Master's, 638 ,
 , ,   ,   ,Bachelor's, 353 ,
 , ,   ,   ,Doctorate, H ,
 , ,   ,   ,Professional Degree, D ,
8324,PRICEWATERHOUSECOOPERS LLP," 1,005 "," 81,670 ",Master's, 610 ,
 , ,   ,   ,Bachelor's, 377 ,
 , ,   ,   ,Professional Degree, H ,
 , ,   ,   ,Doctorate, D ,
5091,MINDTREE LIMITED, 967 ," 75,677 ",Bachelor's, 689 ,
 , ,   ,   ,Master's, 278 ,
1374,HEXAWARE TECHNOLOGIES INC, 955 ," 78,938 ",Bachelor's, 693 ,
 , ,   ,   ,Master's, 262 ,
7787,QUALCOMM TECHNOLOGIES INC, 921 ," 117,872 ",Master's, 627 ,
 , ,   ,   ,Bachelor's, 185 ,
 , ,   ,   ,Doctorate, 106 ,
 , ,   ,   ,Missing Education, D ,
 , ,   ,   ,No Diploma, D ,
 , ,   ,   ,Professional Degree, D ,
5207,KPMG LLP, 902 ," 98,908 ",Master's, 594 ,
 , ,   ,   ,Bachelor's, 281 ,
 , ,   ,   ,Doctorate, H ,
 , ,   ,   ,Professional Degree, D ,
7166,NTT DATA INC, 806 ," 90,213 ",Bachelor's, 530 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Doctorate, D ,
7033,SYNECHRON INC, 761 ," 86,764 ",Bachelor's, 516 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Some College Credits, D ,
2883,VIRTUSA CORPORATION, 736 ," 99,525 ",Bachelor's, 487 ,
 , ,   ,   ,Master's, 249 ,
0389,CAPITAL ONE SERVICES LLC, 690 ," 109,860 ",Bachelor's, 348 ,
 , ,   ,   ,Master's, 332 ,
 , ,   ,   ,Doctorate, 10 ,
7090,CUMMINS INC, 686 ," 87,998 ",Master's, 532 ,
 , ,   ,   ,Bachelor's, 140 ,
 , ,   ,   ,Doctorate, 14 ,
7665,BANK OF AMERICA NA, 671 ," 114,470 ",Master's, 370 ,
 , ,   ,   ,Bachelor's, 255 ,
 , ,   ,   ,Doctorate, H ,
 , ,   ,   ,Professional Degree, D ,
0693,SALESFORCE COM INC, 650 ," 141,444 ",Master's, 442 ,
 , ,   ,   ,Bachelor's, 196 ,
 , ,   ,   ,Doctorate, D ,
 , ,   ,   ,Some College Credits, D ,
 , ,   ,   ,Associate Degree, D ,
4409,WAL MART ASSOCIATES INC, 632 ," 120,957 ",Master's, 359 ,
 , ,   ,   ,Bachelor's, 244 ,
 , ,   ,   ,Doctorate, 17 ,
 , ,   ,   ,Professional Degree, H ,
 , ,   ,   ,Some College Credits, D ,
0924,EBAY INC, 588 ," 146,400 ",Master's, 395 ,
 , ,   ,   ,Bachelor's, 174 ,
 , ,   ,   ,Doctorate, 19 ,
6778,CGI TECHNOLOGIES AND SOLUTIONS, 583 ," 89,057 ",Bachelor's, 336 ,
 , ,   ,   ,Master's, 247 ,
7984,BLOOMBERG LP, 579 ," 150,200 ",Master's, 369 ,
 , ,   ,   ,Bachelor's, 163 ,
 , ,   ,   ,Doctorate, 45 ,
 , ,   ,   ,Professional Degree, D ,
 , ,   ,   ,Some College Credits, D ,
2913,VMWARE INC, 565 ," 134,205 ",Master's, 387 ,
 , ,   ,   ,Bachelor's, 161 ,
 , ,   ,   ,Doctorate, 17 ,
5132,RANDSTAD TECHNOLOGIES LLC, 541 ," 106,624 ",Bachelor's, 356 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Doctorate, D ,
2023,LINKEDIN CORPORATION, 516 ," 150,406 ",Master's, 355 ,
