,state,count,latitude,longitude,name
0,CA,45828,36.778261,-119.41793200000001,California
1,TX,19262,31.968598999999998,-99.901813,Texas
2,NY,13421,43.299428000000006,-74.217933,New York
3,WA,12649,47.751073999999996,-120.74013899999999,Washington
4,NJ,11979,40.058324,-74.405661,New Jersey
5,IL,7086,40.633125,-89.398528,Illinois
6,MA,6446,42.407211,-71.382437,Massachusetts
7,MI,6061,44.314844,-85.602364,Michigan
8,VA,5423,37.431573,-78.656894,Virginia
9,FL,5083,27.664827000000002,-81.515754,Florida
10,GA,4513,32.157435,-82.907123,Georgia
11,PA,4157,41.203322,-77.194525,Pennsylvania
12,OH,3061,40.417287,-82.907123,Ohio
13,NC,2887,35.759572999999996,-79.0193,North Carolina
14,OR,2252,43.804133,-120.554201,Oregon
15,MD,2238,39.045755,-76.641271,Maryland
16,AZ,1991,34.048928000000004,-111.093731,Arizona
17,CT,1585,41.603221000000005,-73.087749,Connecticut
18,MO,1578,37.964253,-91.83183299999999,Missouri
19,MN,1502,46.729553,-94.6859,Minnesota
20,IN,1406,40.551217,-85.602364,Indiana
21,CO,1370,39.550051,-105.782067,Colorado
22,WI,1269,43.784440000000004,-88.787868,Wisconsin
23,UT,1019,39.32098,-111.093731,Utah
24,TN,986,35.517491,-86.58044699999999,Tennessee
25,DC,818,38.905985,-77.03341800000001,District of Columbia
26,DE,770,38.910832,-75.52767,Delaware
27,IA,735,41.878003,-93.097702,Iowa
28,KS,731,39.011902,-98.484246,Kansas
29,AL,622,32.318231,-86.902298,Alabama
30,KY,574,37.839333,-84.27001800000001,Kentucky
31,LA,500,31.244822999999997,-92.14502399999999,Louisiana
32,AR,474,35.20105,-91.83183299999999,Arkansas
33,SC,473,33.836081,-81.163725,South Carolina
34,OK,432,35.007752,-97.092877,Oklahoma
35,NE,377,41.492537,-99.901813,Nebraska
36,NH,352,43.193852,-71.572395,New Hampshire
37,ID,332,44.068202,-114.74204099999999,Idaho
38,NV,330,38.802609999999994,-116.419389,Nevada
39,RI,270,41.580095,-71.477429,Rhode Island
40,MS,203,32.354668,-89.398528,Mississippi
41,NM,201,34.97273,-105.03236299999999,New Mexico
42,ND,170,47.551493,-101.002012,North Dakota
43,VT,154,44.558803000000005,-72.577841,Vermont
44,WV,147,38.597626,-80.454903,West Virginia
45,HI,102,19.898682,-155.66585700000002,Hawaii
46,ME,94,45.253783,-69.44546899999999,Maine
47,SD,70,43.969515,-99.901813,South Dakota
48,GU,45,,,
49,PR,31,18.220833,-66.590149,Puerto Rico
50,AK,31,63.588753000000004,-154.493062,Alaska
51,WY,30,43.075967999999996,-107.29028400000001,Wyoming
52,MT,29,46.879682,-110.36256599999999,Montana
53,MP,10,,,
54,VI,6,,,
