,DBA,BORO,Latitude,Longitude,Census Tract
2,MAC CAFE,Brooklyn,40.578489686497996,-73.93489989999401,61600.0
11,BLOSSOM  ON COLUMBUS,Manhattan,40.785452690359,-73.972909486462,16900.0
13,CAFE B'WAY,Manhattan,40.757941284691,-73.983597940172,11900.0
19,THE COMMISSIONER TAVERN,Brooklyn,40.674911730117,-73.981502246707,13300.0
24,EURO CAFE,Queens,40.648312826068,-73.788281497594,71600.0
32,TRIBECA TAVERN,Manhattan,40.719823035190004,-74.005818955227,3300.0
36,CAFE COLETTE,Brooklyn,40.719859287133005,-73.957669150317,51700.0
40,COFFEE DELIGHT,Bronx,40.815141559193,-73.918424712033,4300.0
41,GINO'S VILLA MONTE,Staten Island,40.578124459257005,-74.169643166348,27702.0
52,THE CUTTING ROOM,Manhattan,40.746254066103,-73.98339872618901,7400.0
53,NICOLE KELLY PUB,Queens,40.726664095183,-73.870454424005,67900.0
54,AMSTERDAM BILLIARDS,Manhattan,40.731696629805,-73.990275951973,4200.0
73,SUNBURST ESPRESSO BAR,Manhattan,40.735873632667,-73.985306561981,5000.0
74,CAFE R,Manhattan,40.74881290184,-73.989472221139,10100.0
75,THE HAROLD,Manhattan,40.748288555642,-73.988465370104,7600.0
78,COOPER'S CRAFT & KITCHEN,Manhattan,40.726868464866,-73.98892729761799,3800.0
81,PARADISE CATERERS,Brooklyn,40.595947261777,-73.982590048278,40200.0
85,OLD JOHN'S LUNCHEONETTE,Manhattan,40.775016335664,-73.98303408496,15300.0
98,RIPPERS,Queens,40.584964147458,-73.810876546759,94203.0
99,ROSEN'S CAFE,Manhattan,40.704111365647,-74.013186030396,900.0
120,CAFE MAGGIO,Manhattan,40.777954538093,-73.943994470935,15200.0
122,SONIC DRIVE-IN,Staten Island,40.520582082991,-74.235050974191,24800.0
123,THE HAIRY LEMON,Manhattan,40.722366351051,-73.983195454462,3002.0
144,TREMONT EAST DINER,Bronx,40.840202946462,-73.83751408760101,26400.0
154,VOYA CAFETERIA,Manhattan,40.75450075314,-73.975950427165,9200.0
