,DBA,BORO,Latitude,Longitude,Census Tract
134,JEAN DANET FRENCH PASTRY,Brooklyn,40.629218611908996,-74.02275774653,13400.0
140,TAO HONG BAKERY,Manhattan,40.717303342478,-73.99426423578,1600.0
265,NOISETTE CAFE,Queens,40.768601627952,-73.911131591188,14100.0
291,GOLDEN STEAMER,Manhattan,40.718681310365,-73.996645049413,4100.0
309,BUONO BAKERY,Staten Island,40.598569386104,-74.079952109305,6400.0
314,BIZCOCHO DE COLORES,Manhattan,40.866002229276,-73.919399728941,29300.0
400,LA BAGUETTE SHOP,Brooklyn,40.640479353044,-73.948455797083,82800.0
431,ROSA'S BAKERY,Brooklyn,40.641807118770004,-74.017429170005,7400.0
434,FRESH WHITE SWAN BAKERY,Manhattan,40.713737879423,-73.99409139793299,800.0
468,GIRALDA BAKERY,Bronx,40.820992860827,-73.891316071168,11900.0
481,MANNA HOUSE,Manhattan,40.718151578241,-73.996933671778,4100.0
482,FEI HUANG BAKERY,Brooklyn,40.617310275315,-73.985019389473,25400.0
508,MY BAKERY NY,Brooklyn,40.637306448837,-74.01126315824,10200.0
565,PARIS BAGUETTE,Queens,40.775776426202995,-73.91113642156,11500.0
617,MAISON KAYSER,Manhattan,40.767262193936,-73.98168949485,13700.0
682,BOSIE BAKERY,Manhattan,40.79288163001,-73.940771232,18000.0
706,MIAS BAKERY TIMES SQUARE,Manhattan,40.759632157978004,-73.984326681643,12500.0
773,VANILLA CAFE,Queens,40.759116853737,-73.831384888787,87100.0
839,JOHNNY'S BAKERY,Bronx,40.830560874453,-73.897103768416,15100.0
869,MORRIS PARK BAKE SHOP,Bronx,40.848231224526,-73.85597188993201,25200.0
924,PIECE-A-CAKE / COOKIE JAR,Staten Island,40.573251817165,-74.114970909235,12200.0
968,PANADERIA LA HACIENDA,Staten Island,40.637745810725995,-74.079811868609,1100.0
1043,DYCKMAN BAKERY,Manhattan,40.864115788672,-73.926372505265,28700.0
1061,LOS ANGELES BAKERY,Brooklyn,40.700549157217004,-73.943385334801,50700.0
1065,MUGI,Queens,40.757943357951,-73.828532665233,85300.0
1114,TOUS LES JOURS,Queens,40.760979246861,-73.82682461303,87100.0
1215,MI CASA BAKERY,Bronx,40.867940993441,-73.899721252489,26500.0
1239,CAPRI BAKERY,Manhattan,40.798134944581,-73.940506490517,18200.0
1259,LA COLOMBIANITA BAKERY,Queens,40.742495491631,-73.854097435139,42700.0
1351,ANDRE'S HUNGARIAN STRUDELS & PASTRIES,Queens,40.726813694739,-73.853363414075,71306.0
1362,BUTTERCUP BAKE SHOP,Manhattan,40.763169770792,-73.981751992438,13100.0
1365,ALMONDINE,Brooklyn,40.703263653864,-73.991225054059,2100.0
