,DBA,BORO,Latitude,Longitude,Census Tract
0,FOO HING KITCHEN,Bronx,40.813670229536,-73.922169221528,4100.0
1,GOLDEN PALACE,Staten Island,40.561720536604,-74.194441464432,22800.0
3,DOUBLE DRAGON,Bronx,40.893054628093,-73.857545439457,42200.0
8,88 CANTEEN,Queens,40.74413297613,-73.825738996383,80301.0
25,EAST NEW SING BO,Staten Island,40.613129213069,-74.121879579031,14700.0
26,TIANJIN DUMPLING HOUSE,Queens,40.757348554116,-73.829075639723,84900.0
34,NEW FU LAI KITCHEN,Brooklyn,40.62804535989,-74.013070072304,20800.0
37,MR KING FOOD KITCHEN,Brooklyn,40.660446137747996,-73.939764727989,87401.0
39,ANPANMAN BAKERY CAFE,Manhattan,40.715283131825,-73.993149757959,1600.0
44,NEW PHOENIX,Staten Island,40.615465633685005,-74.08469088185299,2900.0
60,LUCKY'S QUEENS,Queens,40.761952000743,-73.86909681576701,36700.0
64,TEA FLOWER BAKERY,Brooklyn,40.629956019713,-74.010209936434,21000.0
66,ASIAN CAFE,Queens,40.660254409565,-73.840152725421,89200.0
72,CHINA WOK II,Queens,40.686054731203,-73.839708434226,11600.0
95,HONG KONG KING PALACE,Brooklyn,40.629728879436,-73.944385934875,77600.0
100,CHINA RED GOURMENT,Manhattan,40.715181462659004,-74.008531225712,2100.0
105,KINGS COUNTY IMPERIAL,Brooklyn,40.715344094051,-73.950677487989,50100.0
106,HAPPY SU GARDEN,Queens,40.759777908235,-73.829235428489,85300.0
117,LEE'S VILLA CHINESE RESTAURANT,Brooklyn,40.691792769096,-73.98630436125801,1100.0
118,HING HUNG KITCHEN,Brooklyn,40.67585746572,-73.94992448588,31500.0
119,MIX,Brooklyn,40.635744637622,-74.011565543354,11800.0
136,MISS LI HENAN CUISINE,Queens,40.758728832227,-73.83256984257,87100.0
138,DELICIOUS HUANG BAKERY,Manhattan,40.717050844308,-73.99468992904299,1600.0
141,TANG'S GARDEN,Manhattan,40.772232501135996,-73.958794665078,12800.0
171,A PLUS EXPRESS,Brooklyn,40.699919162442995,-73.940536772102,28501.0
177,WU LA BU HUAN,Brooklyn,40.636150770905,-74.012466362774,11800.0
190,KISSENA CAFE,Queens,40.739807085148,-73.815130157172,83700.0
199,DOUBLE TOP CHINA & TORTILLA TACO,Brooklyn,40.626793165925,-73.94130105777701,74000.0
200,ORIENTAL CHINESE KITCHEN,Brooklyn,40.58046870466,-73.966970186727,36400.0
205,GREAT WALL CHINESE FOOD,Brooklyn,40.668158594407004,-73.906478849452,90600.0
206,RED BOWL NOODLE SHOP,Queens,40.758441749858,-73.82959983144,87100.0
208,XI'AN FAMOUS FOODS,Brooklyn,40.724423990664,-73.951154185424,56900.0
229,PEKING GARDEN,Brooklyn,40.695141611901995,-73.91597563962,41700.0
231,TASTY POPCORN CHICKEN/ YO MAMA'S PIZZA,Queens,40.759237192918,-73.831092198456,87100.0
238,NEW KING HOUSE,Queens,40.751673043616,-73.855520965688,40100.0
243,LOVE GARDEN,Bronx,40.846392355534,-73.88532506134901,36501.0
254,SPACE 194,Manhattan,40.729837669358,-73.98364096502699,3400.0
297,NO.1 KITCHEN,Brooklyn,40.674844185935,-73.963202810351,20700.0
315,CHINA GARDEN RESTAURANT,Brooklyn,40.693066712466,-73.92832188987701,39300.0
319,LOTUS LUCKY EXPRESS,Manhattan,40.866423031683,-73.924714032425,29100.0
320,CHINESE RESTAURANT,Queens,40.75003950242,-73.818519551091,84500.0
328,MOON & FLOWER HOUSE,Brooklyn,40.637265272846,-74.011306387928,10200.0
330,GOLDEN Z RESTAURANT,Brooklyn,40.598737494281,-73.957123268175,58000.0
332,PIGGY EXPRESS,Queens,40.757918590437995,-73.828489413868,85300.0
336,AMAZING 66 RESTAURANT,Manhattan,40.716139689475,-73.998163866152,2900.0
346,HONG KONG DIM SUN,Brooklyn,40.63590121738,-74.010228864455,10400.0
347,DUN HUANG UPPER WEST SIDE/MELLOW TEA,Manhattan,40.810944195356,-73.95805171952401,21100.0
365,218 RESTAURANT,Manhattan,0.0,0.0,
366,SUN SAI GAI RESTAURANT,Manhattan,40.717138793492,-73.998795131761,2900.0
