,DBA,BORO,Latitude,Longitude,Census Tract
18,POST POINT CAFE,Staten Island,40.633713328863,-74.13567306305299,21300.0
23,STARBUCKS,Manhattan,0.0,0.0,
88,SATURDAYS SURF NYC,Manhattan,40.720770126763,-73.999563481943,4500.0
124,MILK & PULL CAFE,Brooklyn,40.701981424512,-73.919577160345,44300.0
139,KOS KAFFE,Brooklyn,40.674815675726,-73.981581585474,13300.0
162,"DUNKIN', BASKIN ROBBINS",Bronx,40.834110461731,-73.852374359612,9200.0
164,BLUESTONE LANE COFFEE,Manhattan,40.755498696318,-73.970979817697,9800.0
181,CITIZENS OF GRAMERCY,Manhattan,40.736682830027,-73.981766491244,6400.0
194,NAGLES BAGELS,Brooklyn,40.68439378747,-73.94413464864701,26700.0
210,PERPETUUM CAFE,Manhattan,40.744556032679,-73.992785848455,9100.0
250,VALENCIA COFFEE ROOM,Bronx,40.817653049355,-73.883470796457,11502.0
251,BOBAMOSA,Manhattan,40.784871014936,-73.95589073186,16001.0
273,KAFFE 1668,Manhattan,40.720923396703,-74.01002190053501,3900.0
288,FULTON CAFE,Bronx,40.805247646794,-73.876412711996,9300.0
301,POD CAFE,Manhattan,40.756093926255005,-73.969503268632,9800.0
331,TERRACE COFFEE SHOP,Brooklyn,40.654676861933,-73.979363499205,150200.0
335,THIRD RAIL COFFEE,Manhattan,40.729718065704006,-73.999660841088,6500.0
360,YOURS TRULY,Manhattan,40.721146021224,-73.99434327116299,4100.0
371,EUROPA CAFE,Manhattan,40.757249422332,-73.982363638032,11900.0
389,EUROPEAN BAR,Queens,40.708790748577,-73.898269942094,61301.0
393,UPTOWN ROASTERS,Brooklyn,40.666051710033,-73.982261682695,15100.0
443,BOULE & CHERIE,Manhattan,40.775757519776,-73.98372712632201,15500.0
449,TEA BAR,Brooklyn,40.718057838683,-73.95534710731,51700.0
451,LITTLE ATLAS CAFE,Manhattan,40.728551412295,-73.994569944761,5501.0
483,TOBY'S ESTATE COFFEE,Manhattan,40.740169742735,-73.990588662409,5400.0
489,CAFE GRUMPY,Manhattan,40.742640398427,-73.99802960828,8700.0
561,REMI FLOWER & COFFEE,Manhattan,40.753796505722,-73.969291370889,9000.0
638,GREGORYS COFFEE,Brooklyn,40.693437318966,-73.99057725380399,900.0
676,NUTRI GLOBAL,Manhattan,40.856920300622,-73.928263917616,27900.0
716,COCO FRESH TEA & JUICE,Queens,40.737403649066,-73.877285995243,47300.0
720,SMOOCH,Brooklyn,40.689973183048004,-73.972227245585,18300.0
726,Double Dutch Espresso,Bronx,40.808712957286,-73.930310106101,1900.0
796,FAB CUP,Staten Island,40.630022246969,-74.10940569479,10500.0
813,COURTYARD MARRIOTT/TABLE 181 SOHO,Manhattan,40.72757427291,-74.005487702624,3700.0
859,THE MUFFIN SHOP,Brooklyn,40.621282778868,-74.006411897035,20000.0
878,STARBUCKS 379 DEKALB(DESIGN CENTER),Brooklyn,40.692048674940004,-73.963957756723,19300.0
900,BARNES & NOBLE CAFE,Manhattan,40.740588953123,-73.983937834218,6800.0
902,BOBA GUYS,Manhattan,40.730033566227,-73.994172933544,5900.0
982,CRUMBS&COFFEE,Brooklyn,40.669680806945,-73.985865527141,13700.0
996,PLAYGROUND COFFEE SHOP,Brooklyn,40.686616176749,-73.95457137639801,22900.0
1007,LEONIDAS,Manhattan,40.704800657511,-74.009622728173,700.0
1048,BROOKS BROTHERS RED FLEECE CAFE,Manhattan,40.739104706717,-73.989794924985,5200.0
1099,PRINCE TEA HOUSE,Brooklyn,40.636071163171,-74.01254921663201,11800.0
1133,MOMOFUKU MILK BAR CG,Brooklyn,40.679293811719,-73.995900734228,7700.0
1152,FULLTIME NETCAFE,Brooklyn,40.621323952844,-74.006372276898,20000.0
1161,PAUSE CAFE,Manhattan,0.0,0.0,
1203,Panorama of My Silence-Heart,Queens,40.712367110538004,-73.806516957971,45000.0
1255,U CAFE,Brooklyn,40.597993248794,-73.963897094301,39200.0
1264,DEMITASSE COFFEE & TEA,Manhattan,40.800342627985,-73.96204598213299,19300.0
1314,ADVENTURE CAFE,Manhattan,40.718977328329004,-73.989660934115,1800.0
1317,TAYLOR ST BARISTAS,Manhattan,40.751748542367004,-73.980037119915,8200.0
1318,LITTLE COLLINS,Manhattan,40.764013475173996,-73.973188985807,11202.0
1370,DEVOCION,Brooklyn,40.688347555886004,-73.982468472361,3700.0
1378,The Crossbar Cafe,Queens,40.756568291808,-73.922030455916,15700.0
1379,THE PULP AND THE BEAN,Brooklyn,40.671219203012,-73.957757818483,21900.0
1396,CHOCOLATERIA,Brooklyn,40.67009145556,-73.978915316715,15500.0
1434,THE BOOGIE DOWN GRIND CAFE,Bronx,40.818605522736,-73.889061913736,11502.0
1463,JAVA DAY CAFE,Queens,40.762827713403,-73.805333770202,117100.0
1480,DAILY PRESS BED-STUY,Brooklyn,40.681412530704,-73.95571425724499,22700.0
1504,THE FLAT,Brooklyn,40.707273058544004,-73.95387915594699,52700.0
1520,STARBUCKS COFFEE,Manhattan,40.796686312536,-73.97031168428,18700.0
1529,LE CAFE COFFEE,Manhattan,40.759804953541,-73.969931118424,10000.0
1537,JOE COFFEE,Manhattan,40.772065838107,-73.960989877895,12800.0
1548,THE BLACK FLAMINGO,Brooklyn,40.679142415785996,-74.010776321455,5900.0
1632,ANDA CAFE,Manhattan,40.717048101701,-73.994736825267,1600.0
1637,KAVA CAFE,Manhattan,40.738964893417,-74.008075993548,7900.0
1654,CAFE/ 911 MUSEUM,Manhattan,40.711209439234,-74.012303708335,1300.0
1693,SANDY'S CAFE,Brooklyn,40.664833957733,-73.989914468197,14100.0
1696,CAFE CON LECHE,Queens,40.749745538362,-73.863945348972,40700.0
1701,FEED YOUR SOUL CAFE (Located inside Lobby of Roza Management Building),Manhattan,40.70733944656,-74.010997308824,700.0
1713,KAHVE,Manhattan,40.762690690820996,-73.99325676918299,12900.0
1764,YI FANG TAIWAN FRUIT TEA,Queens,40.747769333197,-73.94747742015801,700.0
1774,LUNA,Manhattan,40.747009715287,-73.990894458572,9500.0
