,DBA,BORO,Latitude,Longitude,Census Tract
31,BRICIA,Manhattan,40.718825878394,-73.985209325353,1402.0
45,IL PUNTO RISTORANTE,Manhattan,0.0,0.0,
68,POLPETTE 71,Manhattan,40.776434631426,-73.978592666233,15700.0
116,SERAFINA AT TIME HOTEL,Manhattan,40.761007378725,-73.985051921577,12500.0
135,CASA NOVA,Staten Island,40.601115596831,-74.176410664865,29103.0
168,DIVIERA DRIVE,Brooklyn,40.718424333253004,-73.959214058177,55300.0
179,LA NONNA,Manhattan,40.718453521328,-73.997734514258,4100.0
204,CAFFE DEI FIORI RISTORANTE,Manhattan,40.769415044429,-73.962922911174,12800.0
283,DON PEPPE,Queens,40.670258237563,-73.820976082388,83800.0
307,Bigoi Venezia,Manhattan,40.769923709246,-73.957554169452,12600.0
395,RIVIERA RISTORANTE,Queens,40.781936766937,-73.794325756885,101700.0
401,PORTOBELLO CAFE,Staten Island,0.0,0.0,
444,PRIMA PASTA & CAFE,Queens,40.654974365702,-73.838849957521,89200.0
462,FRANKIES 570 SPUNTINO,Manhattan,40.735641112892,-74.005979111349,7300.0
475,CICCIO,Manhattan,40.72640782049,-74.00365118834401,3700.0
536,CAFFE E VINO,Brooklyn,40.689801546598,-73.978162637622,3300.0
606,LA RIVISTA RESTAURANT,Manhattan,40.760074567147996,-73.988589661552,12700.0
664,FELICE,Manhattan,40.774740865607,-73.95094383037,13800.0
708,SCALINATELLA RESTAURANT,Manhattan,40.762663693162,-73.965327244497,11000.0
713,PICCOLA CUCINA,Manhattan,40.726372176687995,-74.002139479768,4900.0
721,ERMINIA RESTAURANT,Manhattan,40.77637537023,-73.954275216341,13800.0
756,BELLA MAMA ROSE,Staten Island,40.631663035101,-74.146754560584,23900.0
766,NOCCIOLA RISTORANTE,Manhattan,40.797563300444004,-73.93910202647601,18800.0
779,GIORGIONE,Manhattan,40.725932718544996,-74.008507352284,3700.0
780,FUMO RESTAURANT,Manhattan,40.821324544808,-73.950475789991,22500.0
804,SENZA GLUTEN,Manhattan,40.729092259501,-74.000191226095,6500.0
851,GIOVANNIS BROOKLYN EATS,Brooklyn,40.660246732756,-73.983805873319,16900.0
856,FORNO ROSSO PIZZERIA,Brooklyn,40.694528905214,-73.983271014845,1500.0
861,PICCOLO CAFE,Manhattan,40.780321520375,-73.98036793829,16100.0
867,F & J PINE RESTAURANT,Bronx,40.848944092381004,-73.862060891357,24600.0
915,V & T RESTAURANT,Manhattan,40.803329420524996,-73.963611914951,19900.0
937,SALUMERIA BEILLESE/ BIRICCHINO REST,Manhattan,40.748947801473996,-73.995806203675,9500.0
942,IL VIOLINO,Manhattan,40.774944586562,-73.98060060372599,15300.0
954,ROMEO'S ITALIAN RISTORANTE,Queens,40.748998079109995,-73.89144119818499,28900.0
964,VALBELLA MIDTOWN,Manhattan,40.760099808132,-73.974768017407,10200.0
988,NUCCI'S SOUTH,Staten Island,40.524009965821,-74.239203152889,22600.0
1011,ILMULINO,Manhattan,40.764070482147005,-73.970604244398,11401.0
1018,NONNO'S PIZZA,Brooklyn,40.621863204143,-74.031721156954,6000.0
1049,DELLA,Brooklyn,40.653010155892,-73.97614572588101,50202.0
1091,PATRIZIA'S OF WOODLAWN,Bronx,40.900647737298996,-73.867751854087,45102.0
