,DBA,BORO,Latitude,Longitude,Census Tract
12,KAJITSU,Manhattan,40.749670336248,-73.977742320312,8000.0
42,GOEMON CURRY,Manhattan,40.720682191479,-73.99512615608,4100.0
58,ZUTTO JAPANESE AMERICAN PUB,Manhattan,40.718381836675,-74.008870737951,3900.0
70,SUSHI ON JONES,Manhattan,40.726484436825,-73.991770385143,5502.0
96,MIKAKU,Manhattan,40.721239437259996,-73.996767578975,4100.0
128,ICHIRAN TIMES SQUARE,Manhattan,40.759876158157,-73.98237376898001,12500.0
223,YAMATO JAPANESE CUISINE,Queens,40.766788996689,-73.79009474824899,109900.0
233,SAKE BAR SATSKO,Manhattan,40.724679731476996,-73.980315844648,2602.0
237,NAKAMURA,Manhattan,40.717590751359,-73.985353897086,1402.0
264,KOTOBUKI,Manhattan,40.731021287218,-73.98884361757901,4200.0
280,EN JAPANESE BRASSERIE,Manhattan,40.730579720691,-74.006804915021,6900.0
293,KIDO SUSHI (QUEENS CENTER MALL),Queens,40.733840182011,-73.871577033806,68300.0
306,DAVELLE,Manhattan,40.718639363034,-73.98624471123,1402.0
325,OISHII,Queens,40.707400728788,-73.835736242986,77500.0
358,USAGI,Manhattan,40.753941706073,-73.968291502419,9000.0
367,TOMOE SUSHI,Manhattan,40.727711642194,-74.000256165478,6500.0
465,AKI SUSHI,Manhattan,40.772720220296996,-73.949775550806,13600.0
477,AJISEN RAMEN,Queens,40.760954215526,-73.83027923695501,87100.0
485,NATSUMI  TAPAS,Manhattan,40.739628084204,-73.982555968231,6600.0
519,T-SWIRL CREPE,Manhattan,40.732840767347,-73.986104655104,4800.0
534,RESOBOX,Manhattan,40.724818036834996,-73.98805455025601,3800.0
556,SHOGUN SUSHI,Brooklyn,40.630269302494995,-74.004215131227,21200.0
595,TOKYO HOUSE JAPANESE RESTAURANT,Bronx,40.905454451959,-73.904512087073,33700.0
616,CUCUMBER SUSHI & SALAD BAR,Staten Island,40.526110177111,-74.201981207597,19800.0
622,PALACE OF JAPAN,Bronx,40.885834084508,-73.90993631631099,29700.0
625,SUSHI AZABU,Manhattan,40.722369913566,-74.00973711263501,3900.0
637,JUNKO SUSHI,Queens,40.761150394183,-73.923663913417,5900.0
696,MEW,Manhattan,40.749869251359,-73.98589897606,8400.0
772,YO SUSHI,Manhattan,40.735925778557004,-73.985270466328,5000.0
819,OSAKA JAPANESE FUSION,Queens,40.735832812511,-73.746289013783,129104.0
832,SUSHI YASU,Queens,40.72080194518,-73.846533085777,71100.0
877,SUKI ICHIRO SUSHI,Manhattan,40.778965037143,-73.950929874115,14602.0
894,TABATA NOODLE RESTAURANT,Manhattan,40.756992594766004,-73.993654399478,11500.0
939,RAMEN TAKUMI,Manhattan,40.730777456829,-73.99548622797201,5900.0
947,Fukusuke,Manhattan,40.754057060467,-73.968562152085,9000.0
955,TOKYO SUSHI JAPANESE RESTAURANT,Staten Island,40.613212883821994,-74.120626321407,16901.0
979,TATSU RAMEN,Manhattan,40.728975903773,-73.984290623383,4000.0
992,52ND SUSHI,Queens,40.744256419766,-73.912196326105,25302.0
1008,RAMEN ISHIDA,Manhattan,40.719663415061,-73.98855331644,1800.0
1025,YAMADA JAPANESE RESTAURANT,Bronx,40.824705311143,-73.820378295751,15800.0
1033,SAKEBAR DECIBEL,Manhattan,40.729555512316,-73.988143899365,3800.0
1040,SUSHI TATSU,Brooklyn,40.677682268251,-73.955424718804,22100.0
1066,SUSHI OF GARI 46,Manhattan,40.760365577684,-73.989275462132,12700.0
1069,TEPPEN RAMEN,Manhattan,40.759346442472,-73.969415141271,10000.0
1117,NARUTO RAMEN,Brooklyn,40.674299729901,-73.982035966568,13300.0
1192,MASAKARI FUSION,Brooklyn,40.586762918127,-73.952533376534,60000.0
1298,DOKODEMO,Manhattan,40.726325076985,-73.9897427712,3800.0
1390,SUSHI OF GARI,Manhattan,40.771489118158996,-73.952823614811,13200.0
1447,Momokawa,Manhattan,40.770586551094,-73.953950669237,13200.0
1451,POKE CITY,Brooklyn,40.691477591136,-73.991078765301,900.0
1465,SHIRO OF JAPAN,Queens,40.709880021936,-73.86822197296,63700.0
1508,BENTON,Queens,40.756447432523,-73.935115137528,5100.0
1538,MAMA SUSHI,Manhattan,40.866054519793,-73.927874398645,29500.0
1626,BentOn Cafe,Manhattan,40.709104653841,-74.006892888095,1502.0
1647,JUKU,Manhattan,40.714608122626,-73.999595987726,2900.0
1662,OCEAN SUSHI,Staten Island,40.541046144751,-74.17793168121,17005.0
1703,NIPPORI JAPANESE RESTAURANT,Manhattan,0.0,0.0,
1704,VILLAGE YOKOCHO,Manhattan,40.729857562420996,-73.989431930386,3800.0
1721,AMBER,Manhattan,40.73296766109,-74.00689175783,7500.0
1777,SUSHI SASABUNE NEW YORK,Manhattan,40.768344563064,-73.955158023786,12400.0
1797,BESSOU,Brooklyn,40.703293906325996,-73.992047363499,2100.0
1931,PADO,Manhattan,40.731344818099,-73.985679205135,4000.0
1995,SUSHI SEKI,Manhattan,40.760522062403,-73.989640021451,12700.0
2042,KATSUHAMA 47,Manhattan,40.756356593464,-73.977851972704,9400.0
2043,O'SAKE JAPANESE RESTAURANT,Queens,40.580649341811,-73.83770158716999,93402.0
2062,JAPANESE KITCHEN & SAKE BAR METHOD,Manhattan,40.765141637967,-73.991437080091,13300.0
2077,GYU-KAKU,Manhattan,40.728147701904,-73.99093312568401,4200.0
2089,NETA,Manhattan,40.733245081792,-73.998682983184,6300.0
2143,AZUSA OF JAPAN,Manhattan,40.754649679502,-73.979613943908,9400.0
2144,YAMADA CHIKARA NEW YORK,Manhattan,40.754729940367,-73.970110280373,9800.0
2202,HIBINO LIC,Queens,40.742759460868,-73.952198064384,700.0
2250,SUSHIYA JAPANESE RESTAURANT,Manhattan,40.7627376917,-73.975557575612,10400.0
2260,3 GUYS SUSHI,Staten Island,40.630278953758996,-74.10788578646,12100.0
2282,KOI,Manhattan,40.753052909376,-73.983891505185,8400.0
2306,FUJI SUSHI,Staten Island,40.598563936756,-74.079894487388,6400.0
2308,KAI SUSHI ASIAN FUSION,Bronx,40.843741011885,-73.84554358819899,20000.0
2335,NEW H.K. TEA AND SUSHI,Brooklyn,40.604034695656,-73.997299058633,28800.0
2340,MY SUSHI  & JAPANESE RESTAURANT,Queens,40.724835000339,-73.879538855681,67100.0
2349,OH TAISHO,Manhattan,40.729259183394,-73.989215542731,3800.0
2352,OKUDA,Manhattan,40.743732670427,-74.006066452373,8300.0
2371,KOBE SUSHI,Manhattan,40.7709036241,-73.95077337279,13200.0
2402,SUSHI YASUDA,Manhattan,40.751258665823,-73.973562282026,8800.0
2405,KANOYAMA,Manhattan,40.730472060292,-73.986314421583,4000.0
2433,HADO ASIA BISTRO,Queens,40.707792828158,-73.817325709797,21400.0
2465,AJI SUSHI HOUSE,Queens,40.774247920703004,-73.908062325287,11700.0
2469,SAKURA 4,Queens,40.701025337539,-73.89178289330499,57700.0
2471,MOMOYA,Manhattan,40.784092307899996,-73.977618827214,16500.0
2508,CHIDORI JAPANESE CUISINE,Queens,40.729805686911,-73.860111136458,71701.0
2539,SALT + CHARCOAL,Brooklyn,40.714593427657,-73.961503409183,55300.0
2585,FRENASIA,Queens,40.651789262964,-73.83803239923999,89200.0
2596,OSAKA SUSHI,Brooklyn,40.587757723134,-73.955499375313,60600.0
2616,JUN-MEN RAMEN BAR,Manhattan,40.747860952156,-74.000339251634,9300.0
2628,KAPPO MASA,Manhattan,40.774514968808,-73.963447195225,13000.0
2660,TAKUMI JAPANESE CUISINE,Manhattan,40.714577703043,-74.00722893059499,2100.0
2662,FUJI JAPANESE RESTAURANT,Manhattan,40.765629178185,-73.982422780932,13700.0
2674,SHARAKU JAPANESE RESTAURANT,Manhattan,40.729871264741,-73.98920101096401,3800.0
2677,LUCKY CAT,Manhattan,40.757331556402,-73.96855338151201,9800.0
2722,KOUZAN,Manhattan,40.792289558958004,-73.971639064932,17700.0
2737,SAKE JAPANESE CUISINE,Brooklyn,40.643741239659995,-73.977165212997,48800.0
2747,YURI SUSHI,Manhattan,40.760593445149,-73.989852985705,12100.0
2764,HINOMARU RAMEN,Queens,40.775272864206,-73.90950873663701,11700.0
2778,CHO-KO RESTAURANT,Manhattan,40.724974397495,-73.987210293235,3800.0
2823,ABUMI SUSHI,Manhattan,40.740550130905,-73.981325171992,6600.0
2883,BOND ST,Manhattan,40.726833186084,-73.994512358639,5502.0
2897,CEETAY,Bronx,40.807223387508,-73.927219549488,1900.0
2901,SOSAKU JAPANESE RESTAURANT,Brooklyn,40.619597253184,-73.916283626848,69800.0
2953,AMURA JAPANESE RESTAURANT,Manhattan,40.774895806216996,-73.953922404121,13800.0
2961,NINJA 86 SUSHI,Brooklyn,40.600817559107,-73.992012802414,29600.0
2989,TENDO SUSHI,Queens,40.708194784449,-73.897877702303,58700.0
3131,SACHIKO,Brooklyn,40.576485669318,-73.965791441302,36001.0
3138,DEEP BLUE,Queens,40.648312826068,-73.788281497594,71600.0
3156,Momo Fuku Noodle Bar,Manhattan,40.767808491195,-73.98226696729701,14500.0
3176,UMI NO IE,Manhattan,40.724856478134,-73.988195247904,3602.0
3203,YAKITORI TOTTO,Manhattan,40.764997945255,-73.98282726729299,13700.0
3324,KIKU SUSHI,Manhattan,40.747380617356,-74.000685716424,9300.0
3342,MICKEY'S PLACE,Queens,40.764085017855,-73.77122324418299,112300.0
3355,DOJO RESTAURANT,Manhattan,40.728644743058,-73.994757553917,5501.0
3358,RED APPLE,Staten Island,40.586875959372,-74.091765133344,7000.0
3403,SAKE RESTAURANT,Brooklyn,40.599889701791,-73.99045366752401,29800.0
3409,HOTEL STANFORD,Manhattan,40.747679030979,-73.98672952295901,7600.0
3434,FUKI SUSHI,Brooklyn,40.607690763634,-74.00208524136501,27800.0
3468,MURA,Brooklyn,40.671278094837,-73.984531374345,13700.0
3490,SUSHI BY M,Manhattan,40.726536467424005,-73.990240628826,3800.0
