,DBA,BORO,Latitude,Longitude,Census Tract
9,LATIN BITES,Manhattan,40.76623154896,-73.95632189118301,12400.0
56,LAS DELICIAS,Queens,40.717850731464,-73.73729222136,56600.0
82,EL MORDISCO RESTAURANT & SPORT BAR,Queens,40.747936377933,-73.880900849924,26901.0
91,CANAVE,Manhattan,40.864490781043,-73.929090880627,28700.0
109,LA ESQUINA DE NAGUA,Manhattan,40.842039807496,-73.935342153235,25300.0
131,MINI PICANTERIA EL GUAYAQUILENO,Queens,40.756341041832,-73.873396000726,37500.0
148,ANTOJITOS AND NATURAL JUICE BAR,Bronx,40.836156807707,-73.90272549061599,16900.0
153,COLOMBIA RESTAURANT,Brooklyn,40.671264375812996,-73.984567426531,13700.0
178,LATINO COFFEE SHOP & PIZZA,Queens,40.698026184674,-73.802007510124,20800.0
182,EL REY,Queens,40.705792925265996,-73.809529742183,23800.0
188,SABOR TROPICAL,Manhattan,40.864533768203,-73.923367628751,29100.0
226,GENA'S GRILL,Manhattan,40.730394798906005,-73.983240327475,3400.0
248,AMOR CUBANO,Manhattan,40.794661070654996,-73.942427370666,17200.0
249,MI CASA RESTAURANT,Queens,40.699203758438,-73.833094977703,12200.0
262,LA NUEVA PLAYITA,Queens,40.70195941636,-73.805191208672,24000.0
270,SHALON RESTAURANT,Bronx,40.868947965381,-73.896241463588,40304.0
308,LOS CUENCANITOS,Queens,40.74479290468,-73.910272075318,25100.0
333,LA AMISTAD BAKERY AND RESTAURANT,Queens,40.761720771552,-73.80325415009901,117100.0
343,LA COCINA BORICUA,Bronx,40.834324851641,-73.850483878532,20601.0
363,Balcon De Quito Restaurant,Queens,40.7034143175,-73.908741060019,54700.0
421,CUBANA CAFE,Brooklyn,40.6825654608,-73.99329374683,7500.0
439,AREPPAS,Manhattan,40.760347720672,-73.967386006202,11203.0
440,JENAVIES CAFE,Bronx,40.833266122728,-73.827510256137,16400.0
471,BLEND,Queens,40.745287822242,-73.953253656981,700.0
510,MY CORAL RESTAURANT,Brooklyn,40.644135038904,-74.014986656335,7600.0
537,SHELI RESTAURANT,Brooklyn,40.705715468956,-73.950742347906,52900.0
542,EL QUINTO PINO,Manhattan,40.747328461903,-74.001270378903,9300.0
564,L'FONDA,Manhattan,40.834936470053,-73.940502365569,24500.0
576,CASTILLO RESTAURANT,Brooklyn,40.650539497188,-74.004670492466,8200.0
580,CRYSTAL'S RESTAURANT,Queens,40.749685326401,-73.866428576877,40700.0
602,619 BAR & RESTAURANT EL SALVADORENO,Bronx,40.817613913943,-73.917500390725,6700.0
620,SABOR HISPANO,Queens,40.752825476656,-73.864209734255,40500.0
628,PUNTO DE SABOR,Manhattan,40.850722625298,-73.932687746593,26900.0
644,LOS MISMO RESTAURANT,Queens,40.750000474103,-73.86137869878101,40300.0
679,COLLADO RESTAURANT,Brooklyn,40.690541427058,-73.923918148159,37500.0
680,CASA ADELA RESTAURANT,Manhattan,40.722761050489,-73.97980412076801,2601.0
686,CALLE OCHO,Manhattan,40.78258994094001,-73.973026206085,16500.0
712,BESO RESTAURANT AND BAR,Brooklyn,40.682923289868,-73.935049942802,27500.0
743,FLOR DE BROADWAY RESTAURANT,Manhattan,40.821822736788995,-73.953821136592,22301.0
753,QUEZADA RESTAURANT,Brooklyn,40.64085304507,-73.956000713713,51602.0
778,OCHE A TU GUSTO,Manhattan,40.854069755945,-73.930266013953,27900.0
782,LA KUCHARA,Queens,40.760576068824,-73.873268797929,35300.0
845,ZABROSURA RESTAURANT,Staten Island,40.603153676062,-74.083112279312,5000.0
881,D' MONTAZO RESTAURANT,Brooklyn,40.701310641944,-73.914326862376,44100.0
916,LA CASA DEL MOFONGO,Manhattan,0.0,0.0,
943,EL RINCON VEGANO REST,Manhattan,40.836404652582004,-73.940016787255,24500.0
1009,LA RUBIA RESTAURANT,Manhattan,40.82585628426,-73.95087348124001,22900.0
1080,EL CONQUISTADOR RESTAURANT,Queens,40.749938303466,-73.899116376404,26100.0
1108,SCORPION,Queens,40.746952100486,-73.890253570596,26700.0
1119,CACHAPA'S BROOKLYN,Brooklyn,40.67319426784,-73.887087641527,115000.0
1131,NEW RANCHITO,Manhattan,40.799995296963,-73.966044551693,19100.0
1144,EL REY DE LA CARIDAD,Manhattan,40.801488103141,-73.964924073776,19300.0
1159,ROY'S RESTAURNT & BAR,Bronx,40.842783543227,-73.885844527342,36502.0
1189,LA CASA DEL MOFONGO AND PIANO BAR,Manhattan,40.865972542051,-73.920122864308,29300.0
1213,EL VIEJO YAYO REST II,Brooklyn,40.668904020291,-73.985746734939,13700.0
