,DBA,BORO,Latitude,Longitude,Census Tract
10,LUPITA RESTAURANT,Manhattan,40.790168087112995,-73.942774350469,17000.0
48,TAUROS BAR AND RESTAURANT,Queens,40.695611566561,-73.83936441511,12601.0
63,LA ESPIGA MEXICAN RESTAURANT,Bronx,40.812365842624004,-73.90327699522601,8300.0
80,CHIPOTLE MEXICAN GRILL,Brooklyn,40.632159538786,-73.94762280016,77400.0
97,VERONICA'S BAKERY,Staten Island,40.631061871315,-74.130951687043,20100.0
103,HUAXCUAXTLA RESTAURANT,Bronx,40.817774186295,-73.919013982814,6500.0
130,TAQUERIA DIANA,Manhattan,40.728427377709,-73.987801340526,3800.0
159,OTTO'S TACOS,Manhattan,40.729011967126006,-73.98737909298299,3800.0
175,COZUMEL TORTILLA,Manhattan,40.769373783907,-73.988378668796,13500.0
184,GABRIELA'S RESTAURANTE,Manhattan,40.791078394722,-73.968826292938,17700.0
247,EL MEXICANO BAR & RESTAURANT,Brooklyn,40.647802801409995,-74.00749193984001,9600.0
295,LIC Bagels,Queens,40.7564908379,-73.929592513575,5100.0
322,EL MARIACHI REST,Queens,40.746152197904,-73.89789869112799,26300.0
334,MEXICAN FESTIVAL,Manhattan,40.798256000225,-73.969140757396,18700.0
418,Villa Pancho Taqueria,Brooklyn,40.693369661678,-73.966430823965,19500.0
457,ROSA MEXICANO,Manhattan,40.771195679299005,-73.983327498748,14900.0
474,EL TEXANO RESTAURANT,Bronx,40.833679413031,-73.856610620783,22200.0
484,THE CREEK AND THE CAVE,Queens,40.743129728216,-73.951540995515,700.0
490,HO'BRAH,Brooklyn,40.623252221034996,-74.03115265683,6000.0
493,AVOCADO & SALAD SALOON,Bronx,40.881216260177005,-73.87876260271,43100.0
547,NACHO MACHO TACO,Brooklyn,40.67625190359,-73.962120479604,30500.0
593,MI RANCHITO MEXICAN RESTAURANT,Manhattan,40.850813163329995,-73.932622590582,26900.0
598,TAQUERIA LUPITA,Bronx,40.830112441743005,-73.825711690459,16600.0
600,AGAVE,Manhattan,40.734727241571,-74.00217583253,7300.0
624,JUGOS Y TACOS,Queens,40.743679867795,-73.886938852936,48100.0
641,I X CAFE,Brooklyn,40.660804035028,-73.961339936743,32700.0
665,EL MIRADOR RESTAURANT,Brooklyn,40.6421389899,-73.981014108873,49600.0
697,DOWNTOWN BAKERY II MEXICAN FOOD,Manhattan,40.725380589145004,-73.986910764439,3800.0
723,CASA MEZCAL,Manhattan,40.71791790585,-73.990324866634,1800.0
737,EL MAGUEY,Queens,40.755677150961,-73.884110229385,28100.0
769,RJC FAMILY'S CAFE,Bronx,40.861018246209,-73.902284081139,23900.0
774,TEQUILLA SUNRISE,Queens,40.769546905665,-73.773894046731,109700.0
809,PEDRO'S MEXICAN BAR & RESTAURANT,Brooklyn,40.702516637482,-73.986673629017,2100.0
833,CABO RESTAURANT,Staten Island,40.521891410989,-74.235023224449,22600.0
865,TRES CORONAS BAR,Queens,40.744560332792,-73.911214308043,25100.0
932,CANTINA MEXICANA,Staten Island,40.57373393735,-74.115925641146,13400.0
952,ACAPULCO DELI & RESTAURANT,Brooklyn,40.736678320215,-73.955312929879,57900.0
963,TULCINGO CAFE,Bronx,40.847450745819,-73.83106975073301,26602.0
1021,RINCONCITO FAMILIAR MEXICAN CUISINE,Brooklyn,40.649985026635,-74.0052470527,8200.0
1088,TAQUERIA SANTA FE & GRILL,Queens,40.76297425447,-73.87510164904,36100.0
1147,EL RANCHITO POBLANO RESTAURANT,Brooklyn,40.638244487166,-73.953433423632,77000.0
