,DBA,BORO,Latitude,Longitude,Census Tract
6,V.I. PIZZA,Queens,40.761252439648,-73.769861286697,146700.0
16,NONNA DELIA'S,Queens,40.782953519028,-73.845880135343,92500.0
51,VIA ROMA PIZZA BAR,Brooklyn,40.678034015081,-73.997970234948,7700.0
61,SOTTO CASA,Brooklyn,40.688408722347,-73.98867769492699,4300.0
71,UNCLE PAULS PIZZA NY,Manhattan,40.754660115073,-73.976755272267,9400.0
102,BELLA PIZZA & GRILL,Queens,40.707367266488,-73.796086035078,46000.0
104,"5 BURRO PIZZA, WOK TO WALK, BLACK BURGER, & SAKURA OF JAPAN",Manhattan,40.754791162271,-73.99155391774,11300.0
126,DOMINO'S,Brooklyn,40.665567722996,-73.95091268915999,32100.0
127,PIZZA BOY I,Queens,40.748965275089,-73.891582007636,28900.0
143,PIZZA PLUS,Manhattan,40.802071782442,-73.936988471232,19400.0
145,BROADWAY BAKERY & PIZZA,Queens,40.686276015621,-73.824026621539,16600.0
150,LUCALI,Brooklyn,40.681906910059,-74.000465106496,6500.0
158,MY PIZZERIA,Staten Island,40.609103481533,-74.087981782462,4000.0
170,GUSTO PIZZERIA,Brooklyn,40.62480463277,-74.024535811538,13800.0
187,PRONTO PIZZA PASTA,Staten Island,40.616528059155,-74.06792523617099,600.0
209,POLITO'S PIZZA,Queens,40.759275747151996,-73.91967737124,15500.0
212,MIA PIZZERIA,Bronx,40.85604507737,-73.855644017338,28800.0
232,VINNIE'S PIZZERIA,Queens,40.769489776433,-73.790057320994,108500.0
235,TOMMY'S PIZZA,Bronx,40.819559910671,-73.817530764489,13000.0
241,PAPA JOHNS PIZZA,Queens,40.595358567807004,-73.78008539824799,97204.0
252,ARTICHOKE BASILLE'S PIZZA & BAR,Manhattan,40.743735417280995,-74.006026755433,8300.0
255,PRONTO PIZZA,Staten Island,0.0,0.0,
266,SUSANO'S PIZZERIA & RESTAURANT,Queens,40.703131194602,-73.90822570085399,54900.0
268,GINO'S PIZZA,Manhattan,40.710647370886,-73.996591349774,800.0
284,NEW PEPERONI'S PIZZA,Bronx,40.816838298091,-73.886651508603,11700.0
286,ROCCO'S PIZZERIA,Brooklyn,40.627036328215,-74.023650419833,13600.0
290,DOMENICO PIZZERIA,Staten Island,40.560661679208,-74.134876333938,14606.0
296,CITI FIELD EMMY SQUARED PIZZA,Queens,0.0,0.0,
303,LA VILLA PIZZA,Brooklyn,40.611022608846,-74.008870823509,17200.0
312,D'ANGELO'S PIZZA,Queens,40.715009428517,-73.832074065603,75701.0
321,PIZZA PORT,Queens,40.670260942912996,-73.820950841132,83800.0
352,TIPSY TOMATO RESTAURANT,Queens,40.680191802916,-73.845649841124,5400.0
378,PAPA JOHN'S,Queens,40.757360639657996,-73.929125955099,5300.0
383,TWO BOOTS,Brooklyn,40.716878073192,-73.956610482427,55300.0
390,ROMEO'S PIZZERIA,Staten Island,40.541496121717,-74.178040820306,17005.0
394,ZESTY PIZZA & SALUMERIA,Manhattan,40.783606229458,-73.950496730836,15801.0
447,GEORGE'S PIZZA,Manhattan,40.850541202932,-73.937054432565,26500.0
505,PIZZA NOVA,Manhattan,40.863182197542,-73.925777011147,28500.0
545,GRANDMA’S ORIGINAL PIZZERIA,Brooklyn,40.63549246291,-74.02614307328399,6800.0
566,GENESIS PIZZA PARLOR,Queens,40.718658854665,-73.813580107812,77904.0
572,METRO PIZZA,Staten Island,40.626355140625,-74.13044527592399,15100.0
594,SPICY PIZZA,Queens,40.745176721685,-73.92084928816901,18300.0
642,FAMOUS FAMIGLIA PIZZERIA,Queens,40.648312826068,-73.788281497594,71600.0
650,FAMOUS RAY'S PIZZA,Manhattan,40.760266134671,-73.983875315042,12500.0
661,DARO'S PIZZA,Queens,40.753377364692,-73.822170321212,85900.0
670,PIZZA HUT,Queens,40.730362580717,-73.743867221347,130100.0
673,ROSA'S PIZZA & PASTA,Queens,40.713124184437,-73.87544792172599,65703.0
683,KATONAH PIZZA,Bronx,40.898791932156,-73.86742638732099,44902.0
732,MONA LISA PIZZERIA & RISTORANTE,Staten Island,40.541401149683,-74.17733538293601,17005.0
736,BARDOLINO PIZZA,Manhattan,40.786669299016,-73.950324719525,15802.0
760,SLICE,Queens,40.743948549766,-73.953676835485,700.0
764,PIZZA PARK,Manhattan,40.764324766383,-73.958543269375,11800.0
787,CARLOS PIZZERIA,Queens,40.704497172094,-73.910535711087,54700.0
799,KISS MY SLICE,Manhattan,40.755548575012,-73.989817662377,11300.0
822,J & B YUMMY PIZZA,Brooklyn,40.64218644826,-74.013335895417,10000.0
838,MAMA'S PIZZA CAFE,Manhattan,40.758751603856,-73.988694568973,12100.0
852,LEXINGTON PIZZA PARLOR,Manhattan,40.789210236622,-73.948726617051,16600.0
868,EXCLUSIVE PIZZA,Manhattan,40.851030689063,-73.938763711348,26500.0
873,PAPA JOHNS,Queens,40.673354552584,-73.79033947599599,78800.0
875,GANNI'S PIZZERIA,Brooklyn,40.694374138935,-73.957793577832,23500.0
890,TATOS PIZZA,Brooklyn,40.608256200073,-74.001390172729,27800.0
903,99 CENT EXPRESS PIZZA,Manhattan,40.758087468626,-73.98971981313001,12100.0
929,A-1 PIZZA SHOP,Manhattan,40.714639696184,-73.982310025479,202.0
934,DELICIAS PIZZA AND CHICKEN,Queens,40.751471108972,-73.81778656459001,120500.0
944,ORIGINAL MIKE'S PIZZA,Brooklyn,40.683573403704,-73.872463832953,117602.0
949,FORNINO,Brooklyn,40.701430410087,-73.995924613572,100.0
961,BOSTON PIZZA,Queens,40.759657806519,-73.9204493852,6100.0
967,JUMBO PIZZA,Manhattan,40.828150151162,-73.949180694828,23300.0
995,PORTO BELLO PIZZERIA & RESTAURANT,Queens,40.771233425393,-73.903795478357,11900.0
